year,satjob,notloyal,commute,joblose,idecide,fringe1,fringe6,fringe11
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very dissatisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very dissatisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very dissatisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very dissatisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very dissatisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very dissatisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very dissatisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very dissatisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,,,,,,,,
1972,moderately satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,moderately satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,very satisfied,,,,,,,
1972,a little dissatisfied,,,,,,,
1972,very satisfied,,,,,,,
